team_name,quarter_label,metric_name,metric_value,metric_unit,source_system,coverage_status,note,last_refresh_utc
ASAP,2025-Q1-S5,Sev 2 Bugs (Internal),3,count,Jira,Yes (partial),2025-Q1-S5: 0 Sev 1 + 3 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q1-S6,AI Active Developers,0,count,GitHub,automated,0 of 0 active devs in sprint,2026-06-05T17:15:35.432Z
ASAP,2025-Q1-S6,AI-assisted Pull Request Coverage,0.0000,percent,GitHub,automated,0 of 0 merged PRs had AI signals,2026-06-05T17:15:35.432Z
ASAP,2025-Q1-S6,Cursor Adoption Rate,0.0000,percent,Cursor,automated,0 of 3 mapped members had Cursor activity,2026-06-05T17:33:34.517Z
ASAP,2025-Q1-S6,Defect Leakage %,14.29,percent,Jira,Yes (partial),2025-Q1-S6: 1 sev L1+L2 / (7 bugs + 0 reopened).,2026-06-02T19:09:20.671Z
ASAP,2025-Q1-S6,Sev 1 + Sev 2 Bugs,1,count,Jira,Yes (partial),2025-Q1-S6: 0 Sev 1 + 1 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q1-S6,Sev 1 Bugs,0,count,Jira,Yes (partial),2025-Q1-S6: 0 Sev 1 + 1 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q1-S6,Sev 1 Bugs (External),0,count,Jira,Yes (partial),2025-Q1-S6: 0 Sev 1 + 1 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q1-S6,Sev 1 Bugs (Internal),0,count,Jira,Yes (partial),2025-Q1-S6: 0 Sev 1 + 1 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q1-S6,Sev 2 Bugs,1,count,Jira,Yes (partial),2025-Q1-S6: 0 Sev 1 + 1 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q1-S6,Sev 2 Bugs (External),0,count,Jira,Yes (partial),2025-Q1-S6: 0 Sev 1 + 1 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q1-S6,Sev 2 Bugs (Internal),1,count,Jira,Yes (partial),2025-Q1-S6: 0 Sev 1 + 1 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q2,AI Active Developers,1,count,GitHub,automated,1 of 3 team members,2026-06-05T17:15:35.432Z
ASAP,2025-Q2,AI-assisted Pull Request Coverage,11.1111,percent,GitHub,automated,1 of 9 merged PRs had AI signals,2026-06-05T17:15:35.432Z
ASAP,2025-Q2,Cursor Adoption Rate,0.0000,percent,Cursor,automated,0 of 3 mapped members had Cursor activity,2026-06-05T17:33:34.517Z
ASAP,2025-Q2,Defect Leakage %,4.88,percent,Jira,Yes (partial),2025-Q2: 2 sev L1+L2 / (40 bugs + 1 reopened).,2026-06-02T19:09:20.671Z
ASAP,2025-Q2,Sev 1 + Sev 2 Bugs,2,count,Jira,Yes (partial),2025-Q2: 0 Sev 1 + 2 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q2,Sev 1 Bugs,0,count,Jira,Yes (partial),2025-Q2: 0 Sev 1 + 2 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q2,Sev 1 Bugs (External),0,count,Jira,Yes (partial),2025-Q2: 0 Sev 1 + 2 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q2,Sev 1 Bugs (Internal),0,count,Jira,Yes (partial),2025-Q2: 0 Sev 1 + 2 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q2,Sev 2 Bugs,2,count,Jira,Yes (partial),2025-Q2: 0 Sev 1 + 2 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q2,Sev 2 Bugs (External),0,count,Jira,Yes (partial),2025-Q2: 0 Sev 1 + 2 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q2,Sev 2 Bugs (Internal),2,count,Jira,Yes (partial),2025-Q2: 0 Sev 1 + 2 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q2-S0,AI Active Developers,0,count,GitHub,automated,0 of 0 active devs in sprint,2026-06-05T17:15:35.432Z
ASAP,2025-Q2-S0,AI-assisted Pull Request Coverage,0.0000,percent,GitHub,automated,0 of 0 merged PRs had AI signals,2026-06-05T17:15:35.432Z
ASAP,2025-Q2-S0,Cursor Adoption Rate,0.0000,percent,Cursor,automated,0 of 3 mapped members had Cursor activity,2026-06-05T17:33:34.517Z
ASAP,2025-Q2-S1,AI Active Developers,0,count,GitHub,automated,0 of 0 active devs in sprint,2026-06-05T17:15:35.432Z
ASAP,2025-Q2-S1,AI-assisted Pull Request Coverage,0.0000,percent,GitHub,automated,0 of 0 merged PRs had AI signals,2026-06-05T17:15:35.432Z
ASAP,2025-Q2-S1,Cursor Adoption Rate,0.0000,percent,Cursor,automated,0 of 3 mapped members had Cursor activity,2026-06-05T17:33:34.517Z
