issue_key,issue_id,summary,issue_type,project_key,team_name,sprint_name,sprint_id,sprint_start_date,sprint_end_date,quarter_label,status_at_sprint_start,status_at_sprint_end,points_at_sprint_start,points_at_sprint_end,completed_in_sprint_flag,in_sprint_wip_flag,added_after_sprint_start_flag,removed_after_sprint_start_flag
AAB-6228,244177,A3 - Force the user to save a credit card when putting an invoice on a Payment Plan  or there is a class with recurring billing,Story,AAB,Team ASAP,ASAP - 25Q3S1 07/02 - 07/15,5867,2025-07-02T15:43:36.639Z,2025-07-16T00:00:00.000Z,2025-Q3,New,New,,,no,no,no,no
OV-63543,245515,Students > A3 - Upload/Download images using the new User Content API,Task,OV,Team ASAP,ASAP - 25Q3S1 07/02 - 07/15,5867,2025-07-02T15:43:36.639Z,2025-07-16T00:00:00.000Z,2025-Q3,Ready for Sprint,Ready To Test,5,3,no,yes,yes,no
OV-64052,246864,PPS > Generate Certificates for Existing Schools for CyberSource Authentication,Task,OV,Team ASAP,ASAP - 25Q3S1 07/02 - 07/15,5867,2025-07-02T15:43:36.639Z,2025-07-16T00:00:00.000Z,2025-Q3,Closed,Closed,,,no,no,no,no
OV-64295,236445,[Mothership] Fix Mend Static Scan detected issues,Task,OV,Team ASAP,ASAP - 25Q3S1 07/02 - 07/15,5867,2025-07-02T15:43:36.639Z,2025-07-16T00:00:00.000Z,2025-Q3,Ready for Sprint,Ready for Sprint,3,3,no,no,no,no
OV-65118,249563,Family Members > A4 - Upload/Download images using the new User Content API,Task,OV,Team ASAP,ASAP - 25Q3S1 07/02 - 07/15,5867,2025-07-02T15:43:36.639Z,2025-07-16T00:00:00.000Z,2025-Q3,Ready for Sprint,Ready for Sprint,3,3,no,yes,yes,yes
OV-65320,250331,A4 > Student > Documents,Task,OV,Team ASAP,ASAP - 25Q3S1 07/02 - 07/15,5867,2025-07-02T15:43:36.639Z,2025-07-16T00:00:00.000Z,2025-Q3,Ready for Sprint,Ready for Sprint,3,3,no,no,no,no
OV-65955,251745,"A3 & A4 - when creating a class or rolling classes or lessons, scheduled class dates and lesson dates are not being created after December 2025 so no dates are created in 2026 or later years - global",Bug,OV,Team ASAP,ASAP - 25Q3S1 07/02 - 07/15,5867,2025-07-02T15:43:36.639Z,2025-07-16T00:00:00.000Z,2025-Q3,Closed,Closed,,,no,no,no,no
OV-65966,251869,[Go] Fix Mend Static Scan Path/Directory Traversal detected vulnerabilities,Task,OV,Team ASAP,ASAP - 25Q3S1 07/02 - 07/15,5867,2025-07-02T15:43:36.639Z,2025-07-16T00:00:00.000Z,2025-Q3,New,In Development,2,2,no,yes,yes,no
OV-66014,252000,[A3] Fix Mend Static Scan High DOM Based Cross-Site Scripting detected vulnerabilities,Task,OV,Team ASAP,ASAP - 25Q3S1 07/02 - 07/15,5867,2025-07-02T15:43:36.639Z,2025-07-16T00:00:00.000Z,2025-Q3,Ready for Sprint,In Test,3,3,no,yes,no,no
OV-67221,254920,A3 >After school Programs - Upload/Download files using the new User Content API,Story,OV,Team ASAP,ASAP - 25Q3S1 07/02 - 07/15,5867,2025-07-02T15:43:36.639Z,2025-07-16T00:00:00.000Z,2025-Q3,Ready for Sprint,Ready for Sprint,3,3,no,no,no,no
OV-69281,260798,GO>Unable to complete a Touchnet payment for an Autobill Item,Bug,OV,Team ASAP,ASAP - 25Q3S1 07/02 - 07/15,5867,2025-07-02T15:43:36.639Z,2025-07-16T00:00:00.000Z,2025-Q3,Ready for Sprint,Closed,3,3,yes,yes,no,no
OV-69360,256559,"GO - images and pdfs added in descriptions such as course descriptions, Homepage, Add a Message to a Page, etc are not visible on GO ",Bug,OV,Team ASAP,ASAP - 25Q3S1 07/02 - 07/15,5867,2025-07-02T15:43:36.639Z,2025-07-16T00:00:00.000Z,2025-Q3,Ready For Refinement,Closed,3,3,yes,yes,no,no
