issue_key,issue_id,team_name,project_key,issue_type,quarter_label,cycle_time_start_status,cycle_time_start_utc,cycle_time_end_status,cycle_time_end_utc,resolution_at_cycle_time_end,cycle_time_days,cycle_time_weeks,completed_in_done_category_flag,completed_with_allowed_resolution_flag,data_quality_note,last_refresh_utc
OV-67271,255103,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-03-31T20:27:28.593Z,Closed,2025-04-01T18:12:05.312Z,Done,0.91,0.13,yes,yes,,2026-04-28T00:04:11.491Z
OV-66663,253558,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-03-31T22:24:52.592Z,Closed,2025-04-03T18:31:31.142Z,Done,2.84,0.41,yes,yes,,2026-04-28T00:04:11.491Z
OV-67287,255131,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-03T22:17:57.738Z,Closed,2025-04-04T13:01:58.767Z,Done,0.61,0.09,yes,yes,,2026-04-28T00:04:11.491Z
OV-67282,255126,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-04T13:02:49.171Z,Closed,2025-04-04T13:41:28.792Z,Done,0.03,0,yes,yes,,2026-04-28T00:04:11.491Z
OV-67280,255124,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-03T15:08:19.801Z,Closed,2025-04-04T14:23:57.826Z,Done,0.97,0.14,yes,yes,,2026-04-28T00:04:11.491Z
OV-67144,254764,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-03-27T15:11:39.180Z,Closed,2025-04-04T15:04:49.023Z,Done,8,1.14,yes,yes,,2026-04-28T00:04:11.491Z
OV-66821,254070,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-03T18:56:56.857Z,Closed,2025-04-04T15:17:11.780Z,Done,0.85,0.12,yes,yes,,2026-04-28T00:04:11.491Z
OV-67284,255128,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-04T14:30:40.201Z,Closed,2025-04-04T17:54:20.062Z,Done,0.14,0.02,yes,yes,,2026-04-28T00:04:11.491Z
OV-67187,254864,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-03T16:13:00.341Z,Closed,2025-04-04T18:11:15.488Z,Done,1.08,0.15,yes,yes,,2026-04-28T00:04:11.491Z
OV-67192,254869,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-04T15:14:39.127Z,Closed,2025-04-04T18:11:23.987Z,Done,0.12,0.02,yes,yes,,2026-04-28T00:04:11.491Z
OV-67037,254461,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-04T14:57:37.356Z,Closed,2025-04-04T19:48:22.573Z,Done,0.2,0.03,yes,yes,,2026-04-28T00:04:11.491Z
OV-67429,255457,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-04T15:06:34.845Z,Closed,2025-04-08T15:08:45.465Z,Done,4,0.57,yes,yes,,2026-04-28T00:04:11.491Z
OV-66888,254199,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-08T13:06:13.272Z,Closed,2025-04-08T18:20:46.042Z,Done,0.22,0.03,yes,yes,,2026-04-28T00:04:11.491Z
OV-67040,254464,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-08T19:41:05.907Z,Closed,2025-04-08T21:11:26.615Z,Done,0.06,0.01,yes,yes,,2026-04-28T00:04:11.491Z
OV-67285,255129,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-04T15:07:46.278Z,Closed,2025-04-08T21:21:25.527Z,Done,4.26,0.61,yes,yes,,2026-04-28T00:04:11.491Z
OV-67289,255133,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-08T21:21:51.726Z,Closed,2025-04-09T03:07:37.441Z,Done,0.24,0.03,yes,yes,,2026-04-28T00:04:11.491Z
OV-66889,254200,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-08T15:19:12.903Z,Closed,2025-04-09T15:12:25.488Z,Done,1,0.14,yes,yes,,2026-04-28T00:04:11.491Z
OV-66675,253570,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-03-31T14:44:59.277Z,Closed,2025-04-10T13:30:58.099Z,Done,9.95,1.42,yes,yes,,2026-04-28T00:04:11.491Z
OV-66661,253556,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-03-19T18:14:56.154Z,Closed,2025-04-10T21:18:38.531Z,Done,22.13,3.16,yes,yes,,2026-04-28T00:04:11.491Z
OV-67708,256124,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-10T21:48:55.915Z,Closed,2025-04-10T22:24:22.466Z,Done,0.02,0,yes,yes,,2026-04-28T00:04:11.491Z
OV-66665,253560,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-10T21:22:05.026Z,Closed,2025-04-11T15:32:30.244Z,Done,0.76,0.11,yes,yes,,2026-04-28T00:04:11.491Z
OV-67707,256123,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-10T15:15:40.585Z,Closed,2025-04-14T14:59:54.734Z,Done,3.99,0.57,yes,yes,,2026-04-28T00:04:11.491Z
OV-66673,253568,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-03-19T18:08:46.359Z,Closed,2025-04-14T22:12:12.626Z,Done,26.17,3.74,yes,yes,,2026-04-28T00:04:11.491Z
OV-67888,256639,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-14T17:56:14.780Z,Closed,2025-04-15T14:33:27.016Z,Done,0.86,0.12,yes,yes,,2026-04-28T00:04:11.491Z
OV-66677,253572,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-14T22:14:32.129Z,Closed,2025-04-16T15:51:55.280Z,Done,1.73,0.25,yes,yes,,2026-04-28T00:04:11.491Z
OV-67375,255265,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-09T15:04:18.668Z,Closed,2025-04-16T15:52:02.997Z,Done,7.03,1,yes,yes,,2026-04-28T00:04:11.491Z
OV-67101,254672,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-03-31T15:05:23.159Z,Closed,2025-04-16T16:31:22.914Z,Done,16.06,2.29,yes,yes,,2026-04-28T00:04:11.491Z
OV-66691,253592,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-17T14:00:54.621Z,Closed,2025-04-17T14:01:04.276Z,Done,0,0,yes,yes,,2026-04-28T00:04:11.491Z
OV-64584,248173,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-17T13:59:29.455Z,Closed,2025-04-21T15:05:00.050Z,Done,4.05,0.58,yes,yes,,2026-04-28T00:04:11.491Z
OV-67193,254870,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-08T16:37:35.000Z,Closed,2025-04-22T16:50:46.126Z,Done,14.01,2,yes,yes,,2026-04-28T00:04:11.491Z
OV-68113,257335,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-23T18:51:43.057Z,Closed,2025-04-23T23:15:24.846Z,Done,0.18,0.03,yes,yes,,2026-04-28T00:04:11.491Z
OV-68115,257341,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-23T23:15:33.686Z,Closed,2025-04-24T20:53:15.592Z,Done,0.9,0.13,yes,yes,,2026-04-28T00:04:11.491Z
OV-66895,254209,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-17T13:59:13.368Z,Closed,2025-04-24T21:20:38.722Z,Done,7.31,1.04,yes,yes,,2026-04-28T00:04:11.491Z
OV-68120,257356,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-24T20:53:55.653Z,Closed,2025-04-25T19:37:51.821Z,Done,0.95,0.14,yes,yes,,2026-04-28T00:04:11.491Z
OV-68593,258288,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-28T20:25:18.942Z,Closed,2025-04-28T20:38:06.727Z,Done,0.01,0,yes,yes,,2026-04-28T00:04:11.491Z
OV-67978,256873,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-16T15:39:49.708Z,Closed,2025-04-28T20:43:56.028Z,Done,12.21,1.74,yes,yes,,2026-04-28T00:04:11.491Z
OV-66415,252916,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-28T19:49:09.285Z,Closed,2025-04-28T21:59:24.549Z,Done,0.09,0.01,yes,yes,,2026-04-28T00:04:11.491Z
OV-66417,252918,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-03-26T18:24:24.543Z,Closed,2025-04-28T22:45:07.604Z,Done,33.18,4.74,yes,yes,,2026-04-28T00:04:11.491Z
OV-66413,252914,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-03-19T19:37:29.597Z,Closed,2025-04-28T22:45:16.198Z,Done,40.13,5.73,yes,yes,,2026-04-28T00:04:11.491Z
OV-66637,253493,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-03-28T14:49:44.050Z,Closed,2025-04-29T14:09:37.746Z,Done,31.97,4.57,yes,yes,,2026-04-28T00:04:11.491Z
OV-68114,257338,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-24T15:05:20.952Z,Closed,2025-04-29T14:29:50.972Z,Done,4.98,0.71,yes,yes,,2026-04-28T00:04:11.491Z
OV-68118,257350,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-24T20:54:52.656Z,Closed,2025-04-29T14:30:07.824Z,Done,4.73,0.68,yes,yes,,2026-04-28T00:04:11.491Z
OV-68117,257347,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-24T15:05:15.285Z,Closed,2025-04-29T14:30:18.514Z,Done,4.98,0.71,yes,yes,,2026-04-28T00:04:11.491Z
OV-68112,257332,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-21T15:10:49.322Z,Closed,2025-04-29T15:26:35.864Z,Done,8.01,1.14,yes,yes,,2026-04-28T00:04:11.491Z
OV-68122,257362,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-29T13:55:47.121Z,Closed,2025-04-29T17:00:41.402Z,Done,0.13,0.02,yes,yes,,2026-04-28T00:04:11.491Z
OV-66414,252915,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-03-21T15:31:39.340Z,Closed,2025-04-30T15:06:38.603Z,Done,39.98,5.71,yes,yes,,2026-04-28T00:04:11.491Z
OV-67419,255446,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-02T16:48:48.785Z,Closed,2025-04-30T15:12:27.624Z,Done,27.93,3.99,yes,yes,,2026-04-28T00:04:11.491Z
OV-66898,254212,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-30T15:10:33.121Z,Closed,2025-04-30T16:07:07.794Z,Done,0.04,0.01,yes,yes,,2026-04-28T00:04:11.491Z
OV-66899,254213,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-30T15:10:35.978Z,Closed,2025-04-30T16:07:18.041Z,Done,0.04,0.01,yes,yes,,2026-04-28T00:04:11.491Z
OV-68645,258459,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-30T16:07:50.927Z,Closed,2025-04-30T16:27:15.713Z,Done,0.01,0,yes,yes,,2026-04-28T00:04:11.491Z
OV-66696,253597,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-17T14:00:49.981Z,Closed,2025-04-30T16:43:14.352Z,Done,13.11,1.87,yes,yes,,2026-04-28T00:04:11.491Z
OV-66697,253598,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-26T03:38:41.248Z,Closed,2025-04-30T16:43:27.426Z,Done,4.54,0.65,yes,yes,,2026-04-28T00:04:11.491Z
OV-68104,257308,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-29T21:57:03.913Z,Closed,2025-04-30T19:13:35.831Z,Done,0.89,0.13,yes,yes,,2026-04-28T00:04:11.491Z
OV-68103,257305,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-21T15:11:13.834Z,Closed,2025-04-30T19:14:22.204Z,Done,9.17,1.31,yes,yes,,2026-04-28T00:04:11.491Z
OV-68108,257320,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-30T19:25:05.597Z,Closed,2025-04-30T20:39:13.655Z,Done,0.05,0.01,yes,yes,,2026-04-28T00:04:11.491Z
OV-67416,255442,Team Connexpoint,OV,Sub-task,2025-Q2,In Development,2025-04-17T13:59:40.131Z,Closed,2025-05-02T13:10:07.464Z,Done,14.97,2.14,yes,yes,,2026-04-28T00:04:11.491Z
