issue_key,issue_id,summary,issue_type,project_key,team_name,sprint_name,sprint_id,sprint_start_date,sprint_end_date,quarter_label,status_at_sprint_start,status_at_sprint_end,points_at_sprint_start,points_at_sprint_end,completed_in_sprint_flag,in_sprint_wip_flag,added_after_sprint_start_flag,removed_after_sprint_start_flag
OV-74131,271165,ASAP 4 > Problems with Sardine using Firefox and Safari ,Bug,OV,Team ASAP,ASAP - 25Q4S1,8078,2025-10-01T16:30:40.307Z,2025-10-14T06:00:00.000Z,2025-Q4,In Development,Closed,3,3,yes,yes,no,no
OV-74244,277324,[A4] Fix Mend Static Scan High Command Injection detected vulnerability,Task,OV,Team ASAP,ASAP - 25Q4S1,8078,2025-10-01T16:30:40.307Z,2025-10-14T06:00:00.000Z,2025-Q4,In Development,Closed,2,2,no,yes,no,no
OV-74245,277326,[A4] Fix Mend Static Scan High Server Side Request Forgery detected vulnerabilty,Task,OV,Team ASAP,ASAP - 25Q4S1,8078,2025-10-01T16:30:40.307Z,2025-10-14T06:00:00.000Z,2025-Q4,In Development,Closed,2,2,yes,yes,no,no
OV-74256,277352,[A3] [Code] Fix high Path directory traversal vulnerability,Task,OV,Team ASAP,ASAP - 25Q4S1,8078,2025-10-01T16:30:40.307Z,2025-10-14T06:00:00.000Z,2025-Q4,Ready To Test,Closed,1,1,yes,yes,no,no
OV-74266,277372,[GO] [Code] Fix high cross site scripting detected vulnerabilities,Task,OV,Team ASAP,ASAP - 25Q4S1,8078,2025-10-01T16:30:40.307Z,2025-10-14T06:00:00.000Z,2025-Q4,Ready To Test,Closed,2,2,yes,yes,no,no
OV-74267,277374,[Mothership] [Code] Fix high cross site scripting detected vulnerability,Task,OV,Team ASAP,ASAP - 25Q4S1,8078,2025-10-01T16:30:40.307Z,2025-10-14T06:00:00.000Z,2025-Q4,Awaiting Build,Closed,1,1,yes,yes,no,no
OV-74272,277384,[A3] [Code] Fix high deserialization of untrusted data detected vulnerability,Task,OV,Team ASAP,ASAP - 25Q4S1,8078,2025-10-01T16:30:40.307Z,2025-10-14T06:00:00.000Z,2025-Q4,Ready To Test,Closed,1,1,yes,yes,no,no
OV-74274,277388,[Dashboard] [Code] Fix high deserialization of untrusted data detected vulnerability,Task,OV,Team ASAP,ASAP - 25Q4S1,8078,2025-10-01T16:30:40.307Z,2025-10-14T06:00:00.000Z,2025-Q4,Ready To Test,Closed,2,2,yes,yes,no,no
OV-74288,277415,[A3] [Dependency] fix medium exploitable detected vulnerabilities,Task,OV,Team ASAP,ASAP - 25Q4S1,8078,2025-10-01T16:30:40.307Z,2025-10-14T06:00:00.000Z,2025-Q4,New,Ready for Sprint,3,3,no,no,no,no
OV-74289,277418,[A4] [Dependency] fix medium exploitable detected vulnerabilities,Task,OV,Team ASAP,ASAP - 25Q4S1,8078,2025-10-01T16:30:40.307Z,2025-10-14T06:00:00.000Z,2025-Q4,New,In Development,3,3,no,yes,yes,no
OV-74290,277420,[GO] [Dependency] fix medium exploitable detected vulnerabilities,Task,OV,Team ASAP,ASAP - 25Q4S1,8078,2025-10-01T16:30:40.307Z,2025-10-14T06:00:00.000Z,2025-Q4,New,In Secure Code Review,3,3,no,yes,yes,no
OV-74291,277422,[Mothership] [Dependency] fix medium exploitable detected vulnerabilities,Task,OV,Team ASAP,ASAP - 25Q4S1,8078,2025-10-01T16:30:40.307Z,2025-10-14T06:00:00.000Z,2025-Q4,New,In Development,2,2,no,yes,yes,no
OV-74292,277425,[MessageQueue] [Dependency] Fix high non exploitable detected vulnerability,Task,OV,Team ASAP,ASAP - 25Q4S1,8078,2025-10-01T16:30:40.307Z,2025-10-14T06:00:00.000Z,2025-Q4,New,Ready for Sprint,2,2,no,no,no,no
OV-74293,277428,[RecurringBillingAPI] [Dependency] Fix high non exploitable detected vulnerabilities,Task,OV,Team ASAP,ASAP - 25Q4S1,8078,2025-10-01T16:30:40.307Z,2025-10-14T06:00:00.000Z,2025-Q4,New,Ready for Sprint,3,3,no,no,no,no
OV-74618,279227,[ASAPI] [Code] Fix high DOM Based Cross-Site Scripting detected vulnerabilities,Task,OV,Team ASAP,ASAP - 25Q4S1,8078,2025-10-01T16:30:40.307Z,2025-10-14T06:00:00.000Z,2025-Q4,Ready To Test,Closed,1,1,yes,yes,no,no
OV-74632,279261,Maintenance Bucket 25Q4S1,Bug,OV,Team ASAP,ASAP - 25Q4S1,8078,2025-10-01T16:30:40.307Z,2025-10-14T06:00:00.000Z,2025-Q4,New,New,2,2,no,no,no,no
OV-74770,280329,Regression Test Release 5.2.15,Task,OV,Team ASAP,ASAP - 25Q4S1,8078,2025-10-01T16:30:40.307Z,2025-10-14T06:00:00.000Z,2025-Q4,New,Closed,3,3,no,yes,no,no
OV-74968,281381,Regression Test Release 5.2.16,Task,OV,Team ASAP,ASAP - 25Q4S1,8078,2025-10-01T16:30:40.307Z,2025-10-14T06:00:00.000Z,2025-Q4,New,In Test,3,3,no,yes,yes,no
OV-75569,285126,[RecurringBillingAPI] [Dependency] Fix high non exploitable detected vulnerabilities - part 2,Task,OV,Team ASAP,ASAP - 25Q4S1,8078,2025-10-01T16:30:40.307Z,2025-10-14T06:00:00.000Z,2025-Q4,New,New,3,3,no,no,yes,no
OV-74289,277418,[A4] [Dependency] fix medium exploitable detected vulnerabilities,Task,OV,Team ASAP,ASAP - 25Q4S2,8177,2025-10-15T16:20:20.063Z,2025-10-28T06:00:00.000Z,2025-Q4,In Test,Closed,3,3,yes,yes,no,no
OV-74290,277420,[GO] [Dependency] fix medium exploitable detected vulnerabilities,Task,OV,Team ASAP,ASAP - 25Q4S2,8177,2025-10-15T16:20:20.063Z,2025-10-28T06:00:00.000Z,2025-Q4,Ready To Test,Closed,3,3,yes,yes,no,no
OV-74291,277422,[Mothership] [Dependency] fix medium exploitable detected vulnerabilities,Task,OV,Team ASAP,ASAP - 25Q4S2,8177,2025-10-15T16:20:20.063Z,2025-10-28T06:00:00.000Z,2025-Q4,Ready To Test,Closed,2,2,yes,yes,no,no
OV-74292,277425,[MessageQueue] [Dependency] Fix high non exploitable detected vulnerability,Task,OV,Team ASAP,ASAP - 25Q4S2,8177,2025-10-15T16:20:20.063Z,2025-10-28T06:00:00.000Z,2025-Q4,In Secure Code Review,Closed,2,2,yes,yes,no,no
OV-74293,277428,[RecurringBillingAPI] [Dependency] Fix high non exploitable detected vulnerabilities,Task,OV,Team ASAP,ASAP - 25Q4S2,8177,2025-10-15T16:20:20.063Z,2025-10-28T06:00:00.000Z,2025-Q4,In Development,Closed,3,3,yes,yes,no,no
OV-74294,277430,[RecurringBillingFunction] [Dependency] fix high non exploitable detected vulnerability,Task,OV,Team ASAP,ASAP - 25Q4S2,8177,2025-10-15T16:20:20.063Z,2025-10-28T06:00:00.000Z,2025-Q4,Ready for Sprint,Closed,1,1,yes,yes,no,no
OV-74295,277432,[Dashboard] [Dependency] fix high non exploitable detected vulnerabilities,Task,OV,Team ASAP,ASAP - 25Q4S2,8177,2025-10-15T16:20:20.063Z,2025-10-28T06:00:00.000Z,2025-Q4,Ready for Sprint,Closed,2,2,yes,yes,no,no
OV-74296,277434,[A3] [Code] Fix medium code detected vulnerabilties,Task,OV,Team ASAP,ASAP - 25Q4S2,8177,2025-10-15T16:20:20.063Z,2025-10-28T06:00:00.000Z,2025-Q4,Ready for Sprint,Closed,2,2,yes,yes,no,no
OV-74297,277436,[GO] [Code] Fix medium Error Message Information Exposure detected vulnerabilities,Task,OV,Team ASAP,ASAP - 25Q4S2,8177,2025-10-15T16:20:20.063Z,2025-10-28T06:00:00.000Z,2025-Q4,Ready for Sprint,Ready for Sprint,3,3,no,no,no,no
OV-74298,277438,[GO] [Code] Fix medium Hardcoded Password/Credentials detected vulnerability,Task,OV,Team ASAP,ASAP - 25Q4S2,8177,2025-10-15T16:20:20.063Z,2025-10-28T06:00:00.000Z,2025-Q4,Ready For Refinement,Ready For Refinement,0,0,no,no,yes,yes
OV-74299,277440,[GO] [Code] Fix medium Trust Boundary Violation detected vulnerabilities,Task,OV,Team ASAP,ASAP - 25Q4S2,8177,2025-10-15T16:20:20.063Z,2025-10-28T06:00:00.000Z,2025-Q4,Ready for Sprint,Closed,5,5,yes,yes,yes,no
OV-74633,279262,Maintenance Bucket 25Q4S2,Task,OV,Team ASAP,ASAP - 25Q4S2,8177,2025-10-15T16:20:20.063Z,2025-10-28T06:00:00.000Z,2025-Q4,Ready for Sprint,Ready for Sprint,2,2,no,no,no,no
OV-75090,282101,Regression Release 5.2.17,Task,OV,Team ASAP,ASAP - 25Q4S2,8177,2025-10-15T16:20:20.063Z,2025-10-28T06:00:00.000Z,2025-Q4,Ready for Sprint,Ready for Sprint,3,3,no,no,no,no
OV-75134,282105,Transcript logos missing globally ,Bug,OV,Team ASAP,ASAP - 25Q4S2,8177,2025-10-15T16:20:20.063Z,2025-10-28T06:00:00.000Z,2025-Q4,New,Closed,5,5,yes,yes,yes,no
OV-75181,282669,A3 - Update webCam component (UserContent API),Task,OV,Team ASAP,ASAP - 25Q4S2,8177,2025-10-15T16:20:20.063Z,2025-10-28T06:00:00.000Z,2025-Q4,New,Closed,3,3,yes,yes,yes,no
OV-75237,281612,"Documents uploaded during the week of October 6th don't open. (Special Characters+ ,)",Bug,OV,Team ASAP,ASAP - 25Q4S2,8177,2025-10-15T16:20:20.063Z,2025-10-28T06:00:00.000Z,2025-Q4,New,Closed,5,5,no,yes,yes,no
OV-75280,282981,Spike - A4 > Investigate why switch org is causing a bug on gateway configuration ,Bug,OV,Team ASAP,ASAP - 25Q4S2,8177,2025-10-15T16:20:20.063Z,2025-10-28T06:00:00.000Z,2025-Q4,New,In Secure Code Review,2,2,no,yes,yes,no
