team_name,sprint_id,sprint_name,quarter_label,cards_committed_at_start,cards_removed_after_start,cards_reestimated_after_start,cards_sent_backward_after_start,completed_cards,completed_points,committed_completed_points,average_wip_cards,average_throughput_cards_per_sprint,data_quality_note,last_refresh_utc
Team ASAP,4384,ASAP - 25Q1S1 01/01- 01/14,2025-Q1,11,1,3,5,7,17,15,4.8537,7,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team ASAP,4712,ASAP - 25Q1S2 01/15 - 01/28,2025-Q1,7,0,6,4,7,16,11,5.4397,7,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team ASAP,4812,ASAP - 25Q1S3 01/29 - 02/11,2025-Q1,12,0,5,3,3,7,7,4.3445,3,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team ASAP,5075,ASAP - 25Q1S4 02/12 - 02/25,2025-Q1,10,0,6,7,11,23,19,5.5764,11,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team ASAP,5174,ASAP - 25Q1S5 02/26 - 03/11,2025-Q1,13,0,2,4,9,25,22,4.4235,9,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team ASAP,5274,ASAP - 25Q1S6 03/12- 03/25,2025-Q1,6,0,4,4,4,16,11,2.9878,4,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Connexpoint,4284,CXP25Q1 - Sp 1,2025-Q1,50,0,0,8,24,0,0,22.561,24,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Connexpoint,4285,CXP25Q1 - Sp 2,2025-Q1,59,0,0,6,16,0,0,13.8817,16,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Connexpoint,4286,CXP25Q1 - Sp 3,2025-Q1,63,0,0,4,19,0,0,12.6286,19,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Connexpoint,4287,CXP25Q1 - Sp 4,2025-Q1,69,0,0,11,17,0,0,12.0231,17,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Connexpoint,4288,CXP25Q1 - Sp 5,2025-Q1,59,0,0,2,20,0,0,14.6789,20,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Connexpoint,4289,CXP25Q1 - Sp 6,2025-Q1,58,0,0,2,11,0,0,11.0316,11,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Smartcare,5009,VC 25Q1S4,2025-Q1,3,0,19,10,1,3,0,12.5304,1,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Smartcare,5240,VC 25Q1S5 - 02/26 - 03/11,2025-Q1,33,2,13,7,3,9,9,17.5157,3,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Smartcare,5306,VC 25Q1S6 - 03/12 - 03/25,2025-Q1,29,1,12,7,5,17,17,17.8698,5,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Webstore,4515,WS25Q1S1 - Angelic Avicii,2025-Q1,15,0,3,3,7,68,66,8.5803,7,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Webstore,4580,WS25Q1S2-Basic Backstreet Boys,2025-Q1,15,2,10,0,8,37,37,12.8432,8,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Webstore,4910,WS25Q1S3-Cringe Chumbawumba,2025-Q1,19,0,6,3,9,20,12,15.5256,9,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Webstore,5042,WS25Q1S4-Daft Daft Punk,2025-Q1,19,0,3,2,6,24,23,13.6207,6,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Webstore,5273,WS25Q1S5-Elvish Elvis,2025-Q1,23,1,10,6,14,54,54,16.6778,14,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Webstore,5405,WS25Q1S6-Flying Foo Fighters,2025-Q1,28,1,4,6,24,67,63,21.4873,24,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
