issue_key,issue_id,team_name,project_key,issue_type,quarter_label,cycle_time_start_status,cycle_time_start_utc,cycle_time_end_status,cycle_time_end_utc,resolution_at_cycle_time_end,cycle_time_days,cycle_time_weeks,completed_in_done_category_flag,completed_with_allowed_resolution_flag,data_quality_note,last_refresh_utc
OV-74274,277388,Team ASAP,OV,Task,2025-Q4,In Development,2025-09-30T17:05:07.542Z,Closed,2025-10-02T20:28:59.613Z,Done,2.14,0.31,yes,yes,,2026-06-10T00:04:52.036Z
OV-74256,277352,Team ASAP,OV,Task,2025-Q4,In Development,2025-09-29T16:22:04.772Z,Closed,2025-10-02T22:29:07.314Z,Done,3.25,0.46,yes,yes,,2026-06-10T00:04:52.036Z
OV-74266,277372,Team ASAP,OV,Task,2025-Q4,In Development,2025-09-29T18:34:43.571Z,Closed,2025-10-03T18:26:36.540Z,Done,3.99,0.57,yes,yes,,2026-06-10T00:04:52.036Z
OV-74245,277326,Team ASAP,OV,Task,2025-Q4,In Development,2025-10-02T13:58:42.967Z,Closed,2025-10-03T18:43:16.855Z,Done,1.2,0.17,yes,yes,,2026-06-10T00:04:52.036Z
OV-74618,279227,Team ASAP,OV,Task,2025-Q4,In Development,2025-09-29T19:57:51.282Z,Closed,2025-10-03T21:59:10.680Z,Done,4.08,0.58,yes,yes,,2026-06-10T00:04:52.036Z
OV-74267,277374,Team ASAP,OV,Task,2025-Q4,In Development,2025-09-29T21:05:53.440Z,Closed,2025-10-06T16:22:28.790Z,Done,6.8,0.97,yes,yes,,2026-06-10T00:04:52.036Z
OV-74272,277384,Team ASAP,OV,Task,2025-Q4,In Development,2025-09-30T16:34:45.466Z,Closed,2025-10-06T21:23:16.800Z,Done,6.2,0.89,yes,yes,,2026-06-10T00:04:52.036Z
OV-74131,271165,Team ASAP,OV,Bug,2025-Q4,In Development,2025-09-19T14:19:17.255Z,Closed,2025-10-10T20:39:34.785Z,Done,21.26,3.04,yes,yes,,2026-06-10T00:04:52.036Z
OV-74289,277418,Team ASAP,OV,Task,2025-Q4,In Development,2025-10-13T15:01:14.897Z,Closed,2025-10-16T19:12:22.654Z,Done,3.17,0.45,yes,yes,,2026-06-10T00:04:52.036Z
OV-74290,277420,Team ASAP,OV,Task,2025-Q4,In Development,2025-10-13T15:32:16.874Z,Closed,2025-10-17T16:38:31.344Z,Done,4.05,0.58,yes,yes,,2026-06-10T00:04:52.036Z
