issue_key,issue_id,team_name,project_key,issue_type,quarter_label,cycle_time_start_status,cycle_time_start_utc,cycle_time_end_status,cycle_time_end_utc,resolution_at_cycle_time_end,cycle_time_days,cycle_time_weeks,completed_in_done_category_flag,completed_with_allowed_resolution_flag,data_quality_note,last_refresh_utc
OV-63875,246427,Team ASAP,OV,Task,2025-Q1,In Development,2024-12-12T20:41:25.694Z,Closed,2025-01-03T20:23:29.018Z,Done,21.99,3.14,yes,yes,,2026-06-10T00:04:52.036Z
OV-64292,236439,Team ASAP,OV,Task,2025-Q1,In Development,2025-01-02T13:28:36.785Z,Closed,2025-01-06T17:59:45.484Z,Done,4.19,0.6,yes,yes,,2026-06-10T00:04:52.036Z
OV-64290,236436,Team ASAP,OV,Task,2025-Q1,In Development,2024-12-26T18:17:35.967Z,Closed,2025-01-07T21:37:42.060Z,Done,12.14,1.73,yes,yes,,2026-06-10T00:04:52.036Z
OV-64291,236440,Team ASAP,OV,Task,2025-Q1,In Development,2024-12-30T20:40:01.094Z,Closed,2025-01-09T21:22:18.138Z,Done,10.03,1.43,yes,yes,,2026-06-10T00:04:52.036Z
OV-64664,247960,Team ASAP,OV,Task,2025-Q1,In Development,2025-01-09T14:55:44.675Z,Closed,2025-01-10T13:38:39.992Z,Done,0.95,0.14,yes,yes,,2026-06-10T00:04:52.036Z
OV-59995,230132,Team ASAP,OV,Story,2025-Q1,In Development,2025-01-06T13:35:48.403Z,Closed,2025-01-13T16:09:25.293Z,Done,7.11,1.02,yes,yes,,2026-06-10T00:04:52.036Z
OV-64574,247480,Team ASAP,OV,Bug,2025-Q1,In Development,2025-01-13T13:47:59.715Z,Closed,2025-01-14T14:26:14.512Z,Done,1.03,0.15,yes,yes,,2026-06-10T00:04:52.036Z
OV-59991,230127,Team ASAP,OV,Story,2025-Q1,In Development,2025-01-06T13:33:29.182Z,Closed,2025-01-15T14:20:51.219Z,Done,9.03,1.29,yes,yes,,2026-06-10T00:04:52.036Z
OV-64049,246860,Team ASAP,OV,Task,2025-Q1,In Development,2025-01-03T17:35:35.486Z,Closed,2025-01-15T14:37:48.577Z,Done,11.88,1.7,yes,yes,,2026-06-10T00:04:52.036Z
OV-64294,236444,Team ASAP,OV,Task,2025-Q1,In Development,2025-01-13T20:36:24.734Z,Closed,2025-01-15T16:44:48.694Z,Done,1.84,0.26,yes,yes,,2026-06-10T00:04:52.036Z
OV-61640,240262,Team ASAP,OV,Story,2025-Q1,In Development,2025-01-10T14:07:37.141Z,Closed,2025-01-20T13:54:53.686Z,Done,9.99,1.43,yes,yes,,2026-06-10T00:04:52.036Z
OV-63878,246433,Team ASAP,OV,Story,2025-Q1,In Development,2025-01-13T18:48:12.038Z,Closed,2025-01-20T21:15:44.891Z,Done,7.1,1.01,yes,yes,,2026-06-10T00:04:52.036Z
OV-59352,228654,Team ASAP,OV,Task,2025-Q1,In Development,2025-01-15T17:29:19.497Z,Closed,2025-01-21T14:11:34.106Z,Done,5.86,0.84,yes,yes,,2026-06-10T00:04:52.036Z
OV-65075,248816,Team ASAP,OV,Task,2025-Q1,In Development,2025-01-20T13:51:26.743Z,Closed,2025-01-22T15:59:10.505Z,Done,2.09,0.3,yes,yes,,2026-06-10T00:04:52.036Z
