issue_key,issue_id,team_name,project_key,issue_type,quarter_label,cycle_time_start_status,cycle_time_start_utc,cycle_time_end_status,cycle_time_end_utc,resolution_at_cycle_time_end,cycle_time_days,cycle_time_weeks,completed_in_done_category_flag,completed_with_allowed_resolution_flag,data_quality_note,last_refresh_utc
OV-70143,263822,Team Connexpoint,OV,Sub-task,2025-Q3,In Development,2025-06-25T15:32:44.741Z,Closed,2025-07-01T12:07:28.794Z,Done,5.86,0.84,yes,yes,,2026-04-28T00:04:11.491Z
OV-70148,263837,Team Connexpoint,OV,Sub-task,2025-Q3,In Development,2025-06-12T21:26:37.872Z,Closed,2025-07-01T18:27:25.975Z,Done,18.88,2.7,yes,yes,,2026-04-28T00:04:11.491Z
OV-70748,265780,Team Connexpoint,OV,Sub-task,2025-Q3,In Development,2025-06-30T15:36:41.038Z,Closed,2025-07-01T19:51:11.371Z,Done,1.18,0.17,yes,yes,,2026-04-28T00:04:11.491Z
OV-70747,265777,Team Connexpoint,OV,Sub-task,2025-Q3,In Development,2025-06-30T15:36:36.977Z,Closed,2025-07-01T19:51:26.897Z,Done,1.18,0.17,yes,yes,,2026-04-28T00:04:11.491Z
OV-70058,263484,Team Connexpoint,OV,Sub-task,2025-Q3,In Development,2025-06-30T15:42:48.520Z,Closed,2025-07-02T03:04:32.080Z,Done,1.47,0.21,yes,yes,,2026-04-28T00:04:11.491Z
OV-70163,263882,Team Connexpoint,OV,Sub-task,2025-Q3,In Development,2025-06-27T18:51:21.204Z,Closed,2025-07-02T13:21:39.655Z,Done,4.77,0.68,yes,yes,,2026-04-28T00:04:11.491Z
OV-70166,263891,Team Connexpoint,OV,Sub-task,2025-Q3,In Development,2025-06-16T14:20:05.761Z,Closed,2025-07-02T13:37:51.119Z,Done,15.97,2.28,yes,yes,,2026-04-28T00:04:11.491Z
OV-70769,265847,Team Connexpoint,OV,Sub-task,2025-Q3,In Development,2025-07-02T13:41:08.532Z,Closed,2025-07-02T13:54:14.069Z,Done,0.01,0,yes,yes,,2026-04-28T00:04:11.491Z
OV-70771,265853,Team Connexpoint,OV,Sub-task,2025-Q3,In Development,2025-07-02T13:59:04.978Z,Closed,2025-07-02T14:12:24.364Z,Done,0.01,0,yes,yes,,2026-04-28T00:04:11.491Z
OV-70140,263813,Team Connexpoint,OV,Sub-task,2025-Q3,In Development,2025-06-12T21:26:52.317Z,Closed,2025-07-02T14:14:52.597Z,Done,19.7,2.81,yes,yes,,2026-04-28T00:04:11.491Z
OV-70173,263912,Team Connexpoint,OV,Sub-task,2025-Q3,In Development,2025-07-02T13:37:57.207Z,Closed,2025-07-02T15:45:12.023Z,Done,0.09,0.01,yes,yes,,2026-04-28T00:04:11.491Z
OV-70147,263834,Team Connexpoint,OV,Sub-task,2025-Q3,In Development,2025-07-02T14:14:31.181Z,Closed,2025-07-02T16:34:39.529Z,Done,0.1,0.01,yes,yes,,2026-04-28T00:04:11.491Z
OV-70746,265774,Team Connexpoint,OV,Sub-task,2025-Q3,In Development,2025-06-26T13:28:03.132Z,Closed,2025-07-02T16:35:42.271Z,Done,6.13,0.88,yes,yes,,2026-04-28T00:04:11.491Z
OV-70795,265938,Team Connexpoint,OV,Sub-task,2025-Q3,In Development,2025-06-27T19:49:13.211Z,Closed,2025-07-02T16:37:21.390Z,Done,4.87,0.7,yes,yes,,2026-04-28T00:04:11.491Z
OV-70754,265795,Team Connexpoint,OV,Sub-task,2025-Q3,In Development,2025-07-01T20:19:44.481Z,Closed,2025-07-02T17:25:08.921Z,Done,0.88,0.13,yes,yes,,2026-04-28T00:04:11.491Z
OV-70625,265377,Team Connexpoint,OV,Sub-task,2025-Q3,In Development,2025-07-02T15:40:25.893Z,Closed,2025-07-02T18:52:08.728Z,Done,0.13,0.02,yes,yes,,2026-04-28T00:04:11.491Z
OV-70626,265380,Team Connexpoint,OV,Sub-task,2025-Q3,In Development,2025-07-02T15:40:27.536Z,Closed,2025-07-02T18:52:18.093Z,Done,0.13,0.02,yes,yes,,2026-04-28T00:04:11.491Z
OV-70150,263843,Team Connexpoint,OV,Sub-task,2025-Q3,In Development,2025-07-02T20:27:48.545Z,Closed,2025-07-02T20:29:05.791Z,Done,0,0,yes,yes,,2026-04-28T00:04:11.491Z
OV-70151,263846,Team Connexpoint,OV,Sub-task,2025-Q3,In Development,2025-07-02T20:28:55.612Z,Closed,2025-07-02T20:29:13.621Z,Done,0,0,yes,yes,,2026-04-28T00:04:11.491Z
OV-66080,252176,Team Connexpoint,OV,Sub-task,2025-Q3,In Development,2025-03-05T15:45:40.749Z,Closed,2025-07-07T17:54:45.982Z,Done,124.09,17.73,yes,yes,,2026-04-28T00:04:11.491Z
OV-66083,252179,Team Connexpoint,OV,Sub-task,2025-Q3,In Development,2025-03-14T13:54:46.702Z,Closed,2025-07-07T18:30:28.843Z,Done,115.19,16.46,yes,yes,,2026-04-28T00:04:11.491Z
OV-66086,252182,Team Connexpoint,OV,Sub-task,2025-Q3,In Development,2025-03-05T15:45:44.941Z,Closed,2025-07-07T20:11:29.449Z,Done,124.18,17.74,yes,yes,,2026-04-28T00:04:11.491Z
OV-70149,263840,Team Connexpoint,OV,Sub-task,2025-Q3,In Development,2025-06-16T15:46:34.873Z,Closed,2025-07-08T15:01:49.189Z,Done,21.97,3.14,yes,yes,,2026-04-28T00:04:11.491Z
OV-70157,263864,Team Connexpoint,OV,Sub-task,2025-Q3,In Development,2025-06-16T15:46:47.750Z,Closed,2025-07-08T15:08:41.153Z,Done,21.97,3.14,yes,yes,,2026-04-28T00:04:11.491Z
OV-66085,252181,Team Connexpoint,OV,Sub-task,2025-Q3,In Development,2025-07-07T20:11:32.588Z,Closed,2025-07-08T15:37:14.420Z,Done,0.81,0.12,yes,yes,,2026-04-28T00:04:11.491Z
