workspace_id,client_name,created_at,total_forms,active_forms,inactive_forms,multi_step_forms,forms_with_payments,forms_with_esignature,forms_with_upload,submissions,billing_cycle,source_system,last_refresh_utc
39bea23f-2c90-485a-aea7-2af0ef591618,channelviewisd,2025-02-12T15:58:14.684091+00:00,60,3,57,10,60,0,0,1,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
50f17986-4942-47e6-bf03-029fd63f5d4d,libertyhillisd,2025-02-12T16:22:46.985697+00:00,59,3,56,5,59,6,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
3bec5732-d9a6-4d82-a6d0-be919ecea7e3,petaluma,2025-02-12T16:35:16.443387+00:00,59,1,58,0,59,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
419431d0-9d78-47d0-a3f5-78dde6500d09,raypeck12,2025-02-12T16:37:47.179089+00:00,58,2,56,2,58,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
37c96f33-fea6-4ff3-9b5b-bd9838c57f24,barbershill,2025-02-10T16:06:20.703287+00:00,57,0,57,0,57,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
86a0ec12-0471-4269-9474-eb99b7e213b5,lakegenevaschools,2025-02-12T16:20:44.850299+00:00,57,0,57,0,57,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
aceeb85d-dee0-4964-882c-915e58ea0469,ascentcolorado,2025-02-10T16:04:59.307724+00:00,55,3,52,3,52,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
5e561708-be60-40fe-9b11-acf3df50491d,gcisdschools,2025-02-12T16:11:18.352120+00:00,55,0,55,0,55,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
ae10c565-9642-4465-8232-2962b8efe161,humbleisd,2025-02-12T16:16:02.218203+00:00,55,3,52,1,55,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
46f58a43-625b-43b8-a7de-2d9cefd86856,westcentral,2025-02-12T16:56:02.725850+00:00,55,25,30,16,55,16,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
ff1473ba-8db4-4eaa-baee-f3da8eb04be5,clovisusd,2025-02-12T16:00:28.204977+00:00,54,4,50,2,54,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
730a61fd-dd8f-4d2a-bca8-5b2ebdecbc14,coatesvillearea,2025-02-12T16:00:47.337245+00:00,52,10,42,4,52,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
f346e963-05be-405c-9a8d-eee8d75cac2d,auhsd,2025-02-10T16:05:29.641781+00:00,49,0,49,0,49,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
