issue_key,issue_id,summary,issue_type,project_key,team_name,sprint_name,sprint_id,sprint_start_date,sprint_end_date,quarter_label,status_at_sprint_start,status_at_sprint_end,points_at_sprint_start,points_at_sprint_end,completed_in_sprint_flag,in_sprint_wip_flag,added_after_sprint_start_flag,removed_after_sprint_start_flag
OV-73589,275118,Automation>Improve SearchItem Method and mic fixes,Task,OV,Team ASAP,ASAP - 26Q1S6,10054,2026-03-18T16:15:10.984Z,2026-03-31T06:00:00.000Z,2026-Q1,New,Closed,,,yes,yes,yes,no
OV-77265,303717,[A4] [Code] Fix Medium Code Findings - Hardcoded Password/Credentials - December 2025 Snapshot,Task,OV,Team ASAP,ASAP - 26Q1S6,10054,2026-03-18T16:15:10.984Z,2026-03-31T06:00:00.000Z,2026-Q1,In Secure Code Review,Closed,1,1,yes,yes,yes,no
OV-77269,303722,[A3] [Code] Fix Medium Code Finding - Hardcoded Password/Credentials - December 2025 Snapshot,Task,OV,Team ASAP,ASAP - 26Q1S6,10054,2026-03-18T16:15:10.984Z,2026-03-31T06:00:00.000Z,2026-Q1,In Secure Code Review,Closed,1,1,no,yes,yes,no
OV-78518,307774,AVS and CVV Enablement for all ASAP customers,Task,OV,Team ASAP,ASAP - 26Q1S6,10054,2026-03-18T16:15:10.984Z,2026-03-31T06:00:00.000Z,2026-Q1,Ready For Refinement,Ready For Refinement,1,1,no,no,no,no
OV-78683,308605,Spike - How to handle process for customers that need to migrate to CXP from other gateway with new rules on CVV and AVS,Story,OV,Team ASAP,ASAP - 26Q1S6,10054,2026-03-18T16:15:10.984Z,2026-03-31T06:00:00.000Z,2026-Q1,Ready for Sprint,Ready To Test,1,3,no,yes,no,no
OV-79339,313993,Create a tag on each release build,Task,OV,Team ASAP,ASAP - 26Q1S6,10054,2026-03-18T16:15:10.984Z,2026-03-31T06:00:00.000Z,2026-Q1,In Secure Code Review,Closed,3,3,yes,yes,no,no
OV-80081,321806,GO - Create new app setting for reCaptcha,Task,OV,Team ASAP,ASAP - 26Q1S6,10054,2026-03-18T16:15:10.984Z,2026-03-31T06:00:00.000Z,2026-Q1,Ready for Sprint,Ready for Sprint,0,0,no,no,no,no
OV-80108,322150,Regression Release 5.2.24,Task,OV,Team ASAP,ASAP - 26Q1S6,10054,2026-03-18T16:15:10.984Z,2026-03-31T06:00:00.000Z,2026-Q1,Ready for Sprint,Ready for Sprint,2,2,no,no,no,no
OV-80210,323149,Automation>CXP Regression Tests 2,Task,OV,Team ASAP,ASAP - 26Q1S6,10054,2026-03-18T16:15:10.984Z,2026-03-31T06:00:00.000Z,2026-Q1,In Secure Code Review,Closed,,,no,yes,no,no
OV-80529,327246,[A3] Mend - Fix Code High Findings - SQL Injection,Task,OV,Team ASAP,ASAP - 26Q1S6,10054,2026-03-18T16:15:10.984Z,2026-03-31T06:00:00.000Z,2026-Q1,Ready for Sprint,In Development,5,5,no,yes,no,no
