issue_key,issue_id,summary,issue_type,project_key,team_name,sprint_name,sprint_id,sprint_start_date,sprint_end_date,quarter_label,status_at_sprint_start,status_at_sprint_end,points_at_sprint_start,points_at_sprint_end,completed_in_sprint_flag,in_sprint_wip_flag,added_after_sprint_start_flag,removed_after_sprint_start_flag
OV-80529,327246,[A3] Mend - Fix Code High Findings - SQL Injection,Task,OV,Team ASAP,ASAP - 26Q3S1,11312,2026-07-08T16:12:25.629Z,2026-07-21T06:00:00.000Z,2026-Q3,Ready To Test,Ready To Test,2,2,no,yes,no,no
OV-82413,333542,[A4] Angular Upgrade v11 to 12,Task,OV,Team ASAP,ASAP - 26Q3S1,11312,2026-07-08T16:12:25.629Z,2026-07-21T06:00:00.000Z,2026-Q3,Closed,Closed,3,3,no,no,no,no
OV-82414,333544,[A4] Angular upgrade v12 to 15,Task,OV,Team ASAP,ASAP - 26Q3S1,11312,2026-07-08T16:12:25.629Z,2026-07-21T06:00:00.000Z,2026-Q3,In Development,In Development,3,3,no,yes,no,no
OV-82536,334432,[Go] Mend - Critial Find axios-1.9.0.tgz,Task,OV,Team ASAP,ASAP - 26Q3S1,11312,2026-07-08T16:12:25.629Z,2026-07-21T06:00:00.000Z,2026-Q3,Ready To Test,Ready To Test,2,2,no,yes,no,no
OV-83000,336496,[A4] New Critical Find uuid-3.4.0.tgz,Task,OV,Team ASAP,ASAP - 26Q3S1,11312,2026-07-08T16:12:25.629Z,2026-07-21T06:00:00.000Z,2026-Q3,Ready To Test,In Test,2,2,no,yes,no,no
OV-84441,350393,[A4] New High Find CWE-78: Command Injection,Task,OV,Team ASAP,ASAP - 26Q3S1,11312,2026-07-08T16:12:25.629Z,2026-07-21T06:00:00.000Z,2026-Q3,Ready To Test,Ready To Test,2,2,no,yes,no,no
OV-84531,350855,ASAP - Regression Release 5.2.22.c,Task,OV,Team ASAP,ASAP - 26Q3S1,11312,2026-07-08T16:12:25.629Z,2026-07-21T06:00:00.000Z,2026-Q3,New,Closed,2,2,no,yes,no,no
OV-85274,357505,[GO] Add LogRocket to go sites.,Task,OV,Team ASAP,ASAP - 26Q3S1,11312,2026-07-08T16:12:25.629Z,2026-07-21T06:00:00.000Z,2026-Q3,New,Closed,3,3,no,yes,yes,no
OV-85324,358066,[Defect] GO - Using a new echeck to make a donation is broken,Bug,OV,Team ASAP,ASAP - 26Q3S1,11312,2026-07-08T16:12:25.629Z,2026-07-21T06:00:00.000Z,2026-Q3,New,New,2,2,no,no,yes,no
OV-79671,317882,Do the thing,Sub-task,OV,Team Connexpoint,CXP26Q3 - Sprint 0,10227,2026-07-02T12:48:58.767Z,2026-07-08T07:00:00.000Z,2026-Q3,In Test,In Test,,,no,yes,no,no
