team_name,sprint_id,sprint_name,quarter_label,cards_committed_at_start,cards_removed_after_start,cards_reestimated_after_start,cards_sent_backward_after_start,completed_cards,completed_points,committed_completed_points,average_wip_cards,average_throughput_cards_per_sprint,data_quality_note,last_refresh_utc
Team ASAP,10365,ASAP - 26Q2S1,2026-Q2,5,0,1,2,1,3,3,4.0379,1,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team ASAP,10531,ASAP - 26Q2S2,2026-Q2,13,0,0,3,0,0,0,6.8943,0,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team ASAP,10665,ASAP - 26Q2S3,2026-Q2,0,0,1,0,1,2,0,8.2765,1,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team ASAP,10764,ASAP - 26Q2S4,2026-Q2,6,0,1,0,0,0,0,5.0407,0,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Connexpoint,9916,CXP26Q2 - Sprint 0,2026-Q2,64,0,0,1,2,0,0,10.3966,2,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Connexpoint,9917,CXP26Q2 - Sprint 1,2026-Q2,85,0,0,4,43,0,0,12.608,43,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Connexpoint,9918,CXP26Q2 - Sprint 2,2026-Q2,82,0,0,1,27,0,0,16.039,27,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Connexpoint,9919,CXP26Q2 - Sprint 3,2026-Q2,50,0,0,0,21,0,0,8.3063,21,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Connexpoint,9920,CXP26Q2 - Sprint 4,2026-Q2,56,0,0,2,37,0,0,11.1535,37,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Connexpoint,9921,CXP26Q2 - Sprint 5,2026-Q2,64,0,0,0,3,0,0,12.4947,3,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Smartcare,10120,VC 26Q2S1,2026-Q2,39,0,7,3,5,19,13,25.1025,5,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Smartcare,10153,VC 26Q2S2,2026-Q2,50,0,7,10,0,0,0,22.548,0,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Smartcare,10464,VC 26Q2S3,2026-Q2,36,0,28,17,2,5,0,25.7671,2,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Smartcare,10632,VC 26Q2S4,2026-Q2,37,3,13,6,2,4,3,26.37,2,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Smartcare,10731,VC 26Q2S5,2026-Q2,39,0,4,3,1,2,2,27.6981,1,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Smartcare,9848,VC 26Q1S6,2026-Q2,18,0,7,2,2,10,5,19.1187,2,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Webstore,10332,WS26Q2S1 - Golden Eye,2026-Q2,29,0,12,6,20,86,83,20.384,20,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Webstore,10398,WS26Q2S2 - Half-Life,2026-Q2,31,0,9,6,7,19,19,22.3344,7,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Webstore,10530,WS26Q2S3 - It Takes Two,2026-Q2,26,1,3,4,12,41,34,16.4057,12,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Webstore,10597,WS26Q2S4 - Jackbox,2026-Q2,26,1,3,0,7,38,27,20.643,7,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
Team Webstore,10598,WS26Q2S5 - Kirby’s Adventure,2026-Q2,27,0,2,0,1,13,13,19.2706,1,Issue was not committed at sprint start.,2026-06-10T00:04:52.036Z
