issue_key,issue_id,team_name,project_key,issue_type,quarter_label,cycle_time_start_status,cycle_time_start_utc,cycle_time_end_status,cycle_time_end_utc,resolution_at_cycle_time_end,cycle_time_days,cycle_time_weeks,completed_in_done_category_flag,completed_with_allowed_resolution_flag,data_quality_note,last_refresh_utc
OV-82413,333542,Team ASAP,OV,Task,2026-Q3,In Development,2026-04-09T15:56:38.139Z,Closed,2026-07-08T16:04:00.194Z,Done,90.01,12.86,yes,yes,,2026-07-16T19:32:57.423Z
OV-84554,350886,Team Connexpoint,OV,Sub-task,2026-Q3,In Development,2026-07-01T17:24:44.272Z,Closed,2026-07-02T15:34:31.267Z,Done,0.92,0.13,yes,yes,,2026-07-16T19:32:57.423Z
OV-84982,354452,Team Connexpoint,OV,Sub-task,2026-Q3,In Development,2026-07-01T15:22:06.684Z,Closed,2026-07-02T15:45:14.755Z,Done,1.02,0.15,yes,yes,,2026-07-16T19:32:57.423Z
OV-83398,340065,Team Connexpoint,OV,Sub-task,2026-Q3,In Development,2026-06-30T21:07:28.901Z,Closed,2026-07-06T13:38:06.322Z,Done,5.69,0.81,yes,yes,,2026-07-16T19:32:57.423Z
OV-84537,350866,Team Connexpoint,OV,Sub-task,2026-Q3,In Development,2026-07-06T15:59:16.163Z,Closed,2026-07-06T15:59:29.692Z,Done,0,0,yes,yes,,2026-07-16T19:32:57.423Z
OV-84536,350865,Team Connexpoint,OV,Sub-task,2026-Q3,In Development,2026-06-18T15:35:18.927Z,Closed,2026-07-06T20:19:30.544Z,Done,18.2,2.6,yes,yes,,2026-07-16T19:32:57.423Z
OV-84557,350889,Team Connexpoint,OV,Sub-task,2026-Q3,In Development,2026-07-02T15:34:20.243Z,Closed,2026-07-07T01:42:25.512Z,Done,4.42,0.63,yes,yes,,2026-07-16T19:32:57.423Z
OV-84542,350874,Team Connexpoint,OV,Sub-task,2026-Q3,In Development,2026-06-29T19:34:13.428Z,Closed,2026-07-07T15:15:25.661Z,Done,7.82,1.12,yes,yes,,2026-07-16T19:32:57.423Z
OV-84541,350873,Team Connexpoint,OV,Sub-task,2026-Q3,In Development,2026-06-30T17:52:14.876Z,Closed,2026-07-07T15:34:44.696Z,Done,6.9,0.99,yes,yes,,2026-07-16T19:32:57.423Z
OV-84540,350869,Team Connexpoint,OV,Sub-task,2026-Q3,In Development,2026-07-06T21:08:01.567Z,Closed,2026-07-07T15:37:43.889Z,Done,0.77,0.11,yes,yes,,2026-07-16T19:32:57.423Z
OV-84558,350890,Team Connexpoint,OV,Sub-task,2026-Q3,In Development,2026-07-02T15:34:22.032Z,Closed,2026-07-07T16:19:26.763Z,Done,5.03,0.72,yes,yes,,2026-07-16T19:32:57.423Z
OV-84544,350876,Team Connexpoint,OV,Sub-task,2026-Q3,In Development,2026-07-07T17:53:42.042Z,Closed,2026-07-08T15:13:09.711Z,Done,0.89,0.13,yes,yes,,2026-07-16T19:32:57.423Z
OV-84545,350877,Team Connexpoint,OV,Sub-task,2026-Q3,In Development,2026-07-07T17:53:43.759Z,Closed,2026-07-08T15:13:16.605Z,Done,0.89,0.13,yes,yes,,2026-07-16T19:32:57.423Z
OV-84552,350884,Team Connexpoint,OV,Sub-task,2026-Q3,In Development,2026-06-30T15:40:16.990Z,Closed,2026-07-08T15:14:30.145Z,Done,7.98,1.14,yes,yes,,2026-07-16T19:32:57.423Z
OV-81029,330895,Team Connexpoint,OV,Sub-task,2026-Q3,In Development,2026-05-22T15:39:07.826Z,Closed,2026-07-08T18:59:39.818Z,Done,47.14,6.73,yes,yes,,2026-07-16T19:32:57.423Z
OV-84547,350879,Team Connexpoint,OV,Sub-task,2026-Q3,In Development,2026-07-07T18:43:56.746Z,Closed,2026-07-08T19:43:58.381Z,Done,1.04,0.15,yes,yes,,2026-07-16T19:32:57.423Z
OV-82894,335974,Team Connexpoint,OV,Sub-task,2026-Q3,In Development,2026-07-08T20:59:45.639Z,Closed,2026-07-09T15:43:47.582Z,Done,0.78,0.11,yes,yes,,2026-07-16T19:32:57.423Z
OV-81035,330901,Team Connexpoint,OV,Sub-task,2026-Q3,In Development,2026-07-08T19:42:21.418Z,Closed,2026-07-09T15:44:09.378Z,Done,0.83,0.12,yes,yes,,2026-07-16T19:32:57.423Z
OV-84914,353916,Team Connexpoint,OV,Sub-task,2026-Q3,In Development,2026-07-01T15:20:49.476Z,Closed,2026-07-09T15:46:45.507Z,Done,8.02,1.15,yes,yes,,2026-07-16T19:32:57.423Z
OV-85104,355318,Team Connexpoint,OV,Sub-task,2026-Q3,In Development,2026-07-02T15:47:01.310Z,Closed,2026-07-09T15:49:06.005Z,Done,7,1,yes,yes,,2026-07-16T19:32:57.423Z
OV-83979,345466,Team Connexpoint,OV,Sub-task,2026-Q3,In Development,2026-06-05T15:49:10.448Z,Closed,2026-07-09T17:01:59.049Z,Done,34.05,4.86,yes,yes,,2026-07-16T19:32:57.423Z
OV-84546,350878,Team Connexpoint,OV,Sub-task,2026-Q3,In Development,2026-06-18T15:42:42.344Z,Closed,2026-07-09T17:02:41.761Z,Done,21.06,3.01,yes,yes,,2026-07-16T19:32:57.423Z
OV-84954,354313,Team Connexpoint,OV,Sub-task,2026-Q3,In Development,2026-07-06T16:24:52.383Z,Closed,2026-07-09T18:52:30.691Z,Done,3.1,0.44,yes,yes,,2026-07-16T19:32:57.423Z
OV-83401,340071,Team Connexpoint,OV,Sub-task,2026-Q3,In Development,2026-07-09T20:21:30.049Z,Closed,2026-07-09T21:25:48.317Z,Done,0.04,0.01,yes,yes,,2026-07-16T19:32:57.423Z
OV-85238,356776,Team Connexpoint,OV,Sub-task,2026-Q3,In Development,2026-07-09T21:57:18.867Z,Closed,2026-07-09T21:59:12.335Z,Done,0,0,yes,yes,,2026-07-16T19:32:57.423Z
OV-84550,350882,Team Connexpoint,OV,Sub-task,2026-Q3,In Development,2026-07-09T17:02:45.788Z,Closed,2026-07-09T23:03:14.954Z,Done,0.25,0.04,yes,yes,,2026-07-16T19:32:57.423Z
OV-84955,354314,Team Connexpoint,OV,Sub-task,2026-Q3,In Development,2026-07-06T16:24:55.092Z,Closed,2026-07-10T16:08:11.868Z,Done,3.99,0.57,yes,yes,,2026-07-16T19:32:57.423Z
OV-81001,330867,Team Connexpoint,OV,Sub-task,2026-Q3,In Development,2026-07-08T19:06:58.404Z,Closed,2026-07-13T15:55:46.831Z,Done,4.87,0.7,yes,yes,,2026-07-16T19:32:57.423Z
