team_name,sprint_id,sprint_name,quarter_label,cards_committed_at_start,cards_removed_after_start,cards_reestimated_after_start,cards_sent_backward_after_start,completed_cards,completed_points,committed_completed_points,average_wip_cards,average_throughput_cards_per_sprint,data_quality_note,last_refresh_utc
Team ASAP,11312,ASAP - 26Q3S1,2026-Q3,7,0,0,0,0,0,0,5.4007,0,Issue was not committed at sprint start.,2026-07-16T19:32:57.423Z
Team Connexpoint,10227,CXP26Q3 - Sprint 0,2026-Q3,92,0,0,3,10,0,0,27.7396,10,Issue was not committed at sprint start.,2026-07-16T19:32:57.423Z
Team Connexpoint,10929,CXP26Q3 - Sprint 1,2026-Q3,91,0,0,2,4,0,0,22.502,4,Issue was not committed at sprint start.,2026-07-16T19:32:57.423Z
Team Smartcare,11278,VC 26Q3S1,2026-Q3,28,0,21,10,1,3,0,28.7534,1,Issue was not committed at sprint start.,2026-07-16T19:32:57.423Z
Team Webstore,11350,WS26Q3S1 - Mario Kart,2026-Q3,8,0,2,2,4,45,42,5.0014,4,Issue was not committed at sprint start.,2026-07-16T19:32:57.423Z
