issue_key,issue_id,team_name,project_key,issue_type,quarter_label,cycle_time_start_status,cycle_time_start_utc,cycle_time_end_status,cycle_time_end_utc,resolution_at_cycle_time_end,cycle_time_days,cycle_time_weeks,completed_in_done_category_flag,completed_with_allowed_resolution_flag,data_quality_note,last_refresh_utc
OV-82428,333645,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-14T14:12:33.785Z,Closed,2026-04-16T15:20:10.756Z,Done,2.05,0.29,yes,yes,,2026-06-10T00:04:52.036Z
OV-82442,333673,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-14T14:54:26.843Z,Closed,2026-04-16T15:20:22.594Z,Done,2.02,0.29,yes,yes,,2026-06-10T00:04:52.036Z
OV-82444,333677,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-14T14:56:07.512Z,Closed,2026-04-16T15:20:35.929Z,Done,2.02,0.29,yes,yes,,2026-06-10T00:04:52.036Z
OV-82450,333689,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-09T22:30:16.302Z,Closed,2026-04-16T15:20:54.749Z,Done,6.7,0.96,yes,yes,,2026-06-10T00:04:52.036Z
OV-82451,333691,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-09T21:50:46.281Z,Closed,2026-04-16T15:21:04.481Z,Done,6.73,0.96,yes,yes,,2026-06-10T00:04:52.036Z
OV-82508,334074,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-15T15:34:46.481Z,Closed,2026-04-16T15:28:57.754Z,Done,1,0.14,yes,yes,,2026-06-10T00:04:52.036Z
OV-82507,334072,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-15T11:30:52.619Z,Closed,2026-04-16T15:29:03.594Z,Done,1.17,0.17,yes,yes,,2026-06-10T00:04:52.036Z
OV-82505,334068,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-10T16:04:21.695Z,Closed,2026-04-16T15:31:44.246Z,Done,5.98,0.85,yes,yes,,2026-06-10T00:04:52.036Z
OV-82557,334473,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-15T15:36:55.816Z,Closed,2026-04-17T00:27:10.331Z,Done,1.37,0.2,yes,yes,,2026-06-10T00:04:52.036Z
OV-82509,334076,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-15T15:34:46.576Z,Closed,2026-04-17T00:28:34.444Z,Done,1.37,0.2,yes,yes,,2026-06-10T00:04:52.036Z
OV-81150,331349,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-15T21:06:50.829Z,Closed,2026-04-17T15:16:02.314Z,Done,1.76,0.25,yes,yes,,2026-06-10T00:04:52.036Z
OV-80789,329274,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-08T15:41:42.028Z,Closed,2026-04-17T15:33:22.820Z,Done,8.99,1.28,yes,yes,,2026-06-10T00:04:52.036Z
OV-80970,330834,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-14T15:41:44.838Z,Closed,2026-04-17T15:34:28.261Z,Done,2.99,0.43,yes,yes,,2026-06-10T00:04:52.036Z
OV-80971,330836,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-16T15:36:24.409Z,Closed,2026-04-17T15:35:13.612Z,Done,1,0.14,yes,yes,,2026-06-10T00:04:52.036Z
OV-80793,329278,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-17T15:33:25.336Z,Closed,2026-04-17T16:11:54.607Z,Done,0.03,0,yes,yes,,2026-06-10T00:04:52.036Z
OV-82447,333683,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-09T21:51:26.907Z,Closed,2026-04-20T15:08:35.415Z,Done,10.72,1.53,yes,yes,,2026-06-10T00:04:52.036Z
OV-81140,331319,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-16T12:38:37.643Z,Closed,2026-04-20T16:47:34.518Z,Done,4.17,0.6,yes,yes,,2026-06-10T00:04:52.036Z
OV-81139,331317,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-16T19:21:22.711Z,Closed,2026-04-21T15:38:35.710Z,Done,4.85,0.69,yes,yes,,2026-06-10T00:04:52.036Z
