issue_key,issue_id,team_name,project_key,issue_type,quarter_label,cycle_time_start_status,cycle_time_start_utc,cycle_time_end_status,cycle_time_end_utc,resolution_at_cycle_time_end,cycle_time_days,cycle_time_weeks,completed_in_done_category_flag,completed_with_allowed_resolution_flag,data_quality_note,last_refresh_utc
OV-78348,306729,Team Connexpoint,OV,Sub-task,2026-Q1,In Development,2026-01-08T19:41:04.628Z,Closed,2026-01-08T20:31:59.021Z,Done,0.04,0.01,yes,yes,,2026-04-27T15:59:56.487Z
OV-78351,306736,Team Connexpoint,OV,Sub-task,2026-Q1,In Development,2026-01-09T14:45:11.393Z,Closed,2026-01-09T21:03:00.807Z,Done,0.26,0.04,yes,yes,,2026-04-27T15:59:56.487Z
OV-78408,306991,Team Connexpoint,OV,Sub-task,2026-Q1,In Development,2026-01-07T22:26:08.222Z,Closed,2026-01-12T14:33:54.186Z,Done,4.67,0.67,yes,yes,,2026-04-27T15:59:56.487Z
OV-77136,303027,Team Connexpoint,OV,Sub-task,2026-Q1,In Development,2026-01-09T21:54:24.522Z,Closed,2026-01-12T17:30:24.059Z,Done,2.82,0.4,yes,yes,,2026-04-27T15:59:56.487Z
OV-77139,303033,Team Connexpoint,OV,Sub-task,2026-Q1,In Development,2026-01-12T18:06:23.703Z,Closed,2026-01-13T14:24:44.461Z,Done,0.85,0.12,yes,yes,,2026-04-27T15:59:56.487Z
OV-77223,303616,Team Connexpoint,OV,Sub-task,2026-Q1,In Development,2026-01-08T17:02:09.844Z,Closed,2026-01-14T15:48:18.092Z,Done,5.95,0.85,yes,yes,,2026-04-27T15:59:56.487Z
OV-76400,297222,Team Connexpoint,OV,Sub-task,2026-Q1,In Development,2025-12-11T16:37:37.632Z,Closed,2026-01-14T16:39:53.014Z,Done,34,4.86,yes,yes,,2026-04-27T15:59:56.487Z
OV-78413,307002,Team Connexpoint,OV,Sub-task,2026-Q1,In Development,2026-01-08T16:45:14.643Z,Closed,2026-01-15T16:50:42.050Z,Done,7,1,yes,yes,,2026-04-27T15:59:56.487Z
OV-76403,297225,Team Connexpoint,OV,Sub-task,2026-Q1,In Development,2026-01-14T16:36:51.927Z,Closed,2026-01-15T16:56:17.705Z,Done,1.01,0.14,yes,yes,,2026-04-27T15:59:56.487Z
OV-76404,297226,Team Connexpoint,OV,Sub-task,2026-Q1,In Development,2026-01-14T16:36:54.032Z,Closed,2026-01-15T17:53:44.688Z,Done,1.05,0.15,yes,yes,,2026-04-27T15:59:56.487Z
OV-77219,303608,Team Connexpoint,OV,Sub-task,2026-Q1,In Development,2026-01-08T14:45:11.893Z,Closed,2026-01-20T18:45:02.136Z,Done,12.17,1.74,yes,yes,,2026-04-27T15:59:56.487Z
OV-78401,306976,Team Connexpoint,OV,Sub-task,2026-Q1,In Development,2026-01-09T19:46:18.723Z,Closed,2026-01-22T14:34:04.994Z,Done,12.78,1.83,yes,yes,,2026-04-27T15:59:56.487Z
OV-78407,306988,Team Connexpoint,OV,Sub-task,2026-Q1,In Development,2026-01-09T15:58:05.225Z,Closed,2026-01-22T17:06:27.050Z,Done,13.05,1.86,yes,yes,,2026-04-27T15:59:56.487Z
OV-78411,306997,Team Connexpoint,OV,Sub-task,2026-Q1,In Development,2026-01-22T16:34:59.798Z,Closed,2026-01-22T17:06:52.267Z,Done,0.02,0,yes,yes,,2026-04-27T15:59:56.487Z
OV-78410,306995,Team Connexpoint,OV,Sub-task,2026-Q1,In Development,2026-01-22T16:34:58.114Z,Closed,2026-01-22T17:07:00.026Z,Done,0.02,0,yes,yes,,2026-04-27T15:59:56.487Z
OV-78412,306999,Team Connexpoint,OV,Sub-task,2026-Q1,In Development,2026-01-15T16:49:47.118Z,Closed,2026-01-22T17:09:03.768Z,Done,7.01,1,yes,yes,,2026-04-27T15:59:56.487Z
OV-78403,306980,Team Connexpoint,OV,Sub-task,2026-Q1,In Development,2026-01-22T20:28:59.018Z,Closed,2026-01-22T20:43:53.448Z,Done,0.01,0,yes,yes,,2026-04-27T15:59:56.487Z
OV-78402,306978,Team Connexpoint,OV,Sub-task,2026-Q1,In Development,2026-01-13T14:12:22.759Z,Closed,2026-01-22T20:52:24.231Z,Done,9.28,1.33,yes,yes,,2026-04-27T15:59:56.487Z
OV-78406,306986,Team Connexpoint,OV,Sub-task,2026-Q1,In Development,2026-01-22T20:56:16.355Z,Closed,2026-01-23T21:50:46.605Z,Done,1.04,0.15,yes,yes,,2026-04-27T15:59:56.487Z
OV-77218,303606,Team Connexpoint,OV,Sub-task,2026-Q1,In Development,2026-01-22T20:26:40.395Z,Closed,2026-01-27T14:37:44.380Z,Done,4.76,0.68,yes,yes,,2026-04-27T15:59:56.487Z
OV-77220,303610,Team Connexpoint,OV,Sub-task,2026-Q1,In Development,2026-01-22T20:27:36.675Z,Closed,2026-01-27T14:37:53.423Z,Done,4.76,0.68,yes,yes,,2026-04-27T15:59:56.487Z
OV-77222,303614,Team Connexpoint,OV,Sub-task,2026-Q1,In Development,2026-01-20T18:51:29.589Z,Closed,2026-01-27T15:49:57.408Z,Done,6.87,0.98,yes,yes,,2026-04-27T15:59:56.487Z
OV-76487,298723,Team Connexpoint,OV,Sub-task,2026-Q1,In Development,2026-01-22T18:56:49.911Z,Closed,2026-01-27T16:00:14.354Z,Done,4.88,0.7,yes,yes,,2026-04-27T15:59:56.487Z
