team_name,quarter_label,metric_name,metric_value,metric_unit,source_system,coverage_status,note,last_refresh_utc
ASAP,2025-Q1-S6,Sev 1 + Sev 2 Bugs,1,count,Jira,Yes (partial),2025-Q1-S6: 0 Sev 1 + 1 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q1-S6,Sev 1 Bugs,0,count,Jira,Yes (partial),2025-Q1-S6: 0 Sev 1 + 1 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q1-S6,Sev 1 Bugs (External),0,count,Jira,Yes (partial),2025-Q1-S6: 0 Sev 1 + 1 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q1-S6,Sev 1 Bugs (Internal),0,count,Jira,Yes (partial),2025-Q1-S6: 0 Sev 1 + 1 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q1-S6,Sev 2 Bugs,1,count,Jira,Yes (partial),2025-Q1-S6: 0 Sev 1 + 1 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q1-S6,Sev 2 Bugs (External),0,count,Jira,Yes (partial),2025-Q1-S6: 0 Sev 1 + 1 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q1-S6,Sev 2 Bugs (Internal),1,count,Jira,Yes (partial),2025-Q1-S6: 0 Sev 1 + 1 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q2,Defect Leakage %,4.88,percent,Jira,Yes (partial),2025-Q2: 2 sev L1+L2 / (40 bugs + 1 reopened).,2026-06-02T19:09:20.671Z
ASAP,2025-Q2,Sev 1 + Sev 2 Bugs,2,count,Jira,Yes (partial),2025-Q2: 0 Sev 1 + 2 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q2,Sev 1 Bugs,0,count,Jira,Yes (partial),2025-Q2: 0 Sev 1 + 2 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q2,Sev 1 Bugs (External),0,count,Jira,Yes (partial),2025-Q2: 0 Sev 1 + 2 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q2,Sev 1 Bugs (Internal),0,count,Jira,Yes (partial),2025-Q2: 0 Sev 1 + 2 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q2,Sev 2 Bugs,2,count,Jira,Yes (partial),2025-Q2: 0 Sev 1 + 2 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q2,Sev 2 Bugs (External),0,count,Jira,Yes (partial),2025-Q2: 0 Sev 1 + 2 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
ASAP,2025-Q2,Sev 2 Bugs (Internal),2,count,Jira,Yes (partial),2025-Q2: 0 Sev 1 + 2 Sev 2 bug(s).,2026-06-02T19:09:20.671Z
